such as,様に
Receive CVS Payment,CVS支払受領
Receive CVS payment cronjob setting,CVS支払受領クロンジョブ設
Are you sure you want to delete?,削除してよろしいでしょうか？
Upload ID,アップロードID
Import log,インポートログ
Uploaded At,でアップロード
Imported At,でインポート
Delete items,項目を削除
Are you sure you wan't to delete selected items?,選択した項目を削除するwan'tよろしいですか？
Messages,メッセージ
Fraud Detection,不正検出
Hold on Review status,レビューステータスにホールド
Hold on Reject status,拒否状態に保持します
Package Information,パッケージ情報
Admin Log Item Information,管理ログ項目の情報
Full Action Name,フルアクション名
Do you want to delete selected row record?,選択した行のレコードを削除しますか？
Import Stock,インポート証券
Common Settings,共通設定
Filename pattern regex,ファイル名のパターンの正規表現
INV1,INV1
sFTP Settings,SFTP設定
sFTP IP,SFTP IP
sFTP port,SFTPポート
sFTP User,SFTPユーザー
sFTP Password,SFTPパスワード
Location of Importing Files,ファイルのインポートの場所
Scheduler Settings,スケジューラの設定
INV1_1,INV1_1
Email Settings,メール設定
"Email template chosen based on theme fallback when ""Default"" option is selected.",「デフォルト」オプションが選択されている場合はテーマフォールバックに基づいて選択された電子メールテンプレート
TransactionID,トランザクションID
Payment From,から支払い
Selling Price,販売価格
Minimum Allowed Price,最小許容価格
Maximum Allowed Price,最大許容価格
Future Price Cron Config,将来の価格クロンコンフィグ
Update product future_price config,更新製品future_price設定
SSO Login Setting,SSOログインの設定
Use SSO Login,SSOログインを使用します
Cedyna Customer Hold,セディナ顧客を保留する
sFTP Host,SFTPホスト
Domain name/ Ip address of sFTP server. Example: 192.168.10.90,ドメイン名/ SFTPサーバのIPアドレス例：192.168.10.90
sFTP port number. Example: 22,SFTPポート番号例：22
sFTP Username,SFTPユーザー名
File Settings,ファイルの設定
sFTP Import File Csv,SFTPのインポートはCSVファイル
The time cron schedule,時間のcronスケジュール
Email Alert,メールアラート
Consumer DB API Config Setting,消費者のDB APIコンフィグ設定
SetCustomer,SetCustomer
SetCustomer end point,SetCustomerエンドポイント
GetCustomer,GetCustomer
GetCustomer end point,GetCustomerエンドポイント
selectCustomer,selectCustomer
selectCustomer end point,selectCustomerエンドポイント
Param 1,パラメータ1
Param 2,パラメータ2
Param 3,パラメータ3
Param 4,Paramの4
Customer Sub-profile,お客様のサブプロファイル
SetCustomerSub,SetCustomerSub
SetCustomerSub end point,SetCustomerSubエンドポイント
GetCustomerSub,GetCustomerSub
GetCustomerSub end point,GetCustomerSubエンドポイント
Customer Ambassador,アンバサダー顧客
SetAmbassador,アンバサダー設定
SetAmbassador end point,アンバサダーポイント設定
GetAmbassador,アンバサダー情報取得
GetAmbassador end point,アンバサダーポイント取得
Name Kanji,漢字名
Name Katakana,カナ名
Company phone number,会社電話番号
API Log Item Information,APIログ項目の情報
Request,要求
Response Data,レスポンスデータ
API Name,API名
Add New Category,新しいカテゴリを追加
Enquiry number,お問い合わせ番号
First enquiry date,最初の照会日
Enquiry update date,お問い合わせ更新日
Business user,ビジネスユーザー
Generate Fake Email,偽の電子メールを生成します
"If your Magento site has multiple views, you can set the scope to apply to a specific view.",あなたのMagentoのサイトが複数のビューを持っている場合は特定のビューに適用する範囲を設定することができます
Calendar Display Period,カレンダー表示期間
Fraud Status,詐欺ステータス
Gift Order Setting,ギフト注文の設定
Select Gift Option,ギフトオプションを選択します
Allow Gift Wrapping on Order Level,注文レベルでのギフトラッピングを許可します
Allow Gift Wrapping for Order Items,注文品のためギフトラッピングを許可します
Loyalty Program,ロイヤルティプログラム
API config,APIの設定
API base URL,APIベースURL
Reward Point,獲得ポイント
Default expiration,失効日
In days,日
Schedule time re-send conversion point,スケジュール時間再送信の変換点
Approval to name,名前に承認
Approval to email,電子メールで送信するための承認
Approval email template,承認メールテンプレート
Point setting cms page,ポイント設定CMSページ
Point history cms page,ポイント履歴CMSページ
Serial code confirmation,シリアルコードの確認
Point Amount,ポイント数
Point Type,ポイントのタイプ
Order No,注文番号
Order Item,注文アイテム
Expiry Period,有効期間
Number of point,ポイント数
Total amount of payment (Tax included):,注文合計（税込）
Is show frontEnd,ショーのフロントエンドです
Invoiced base Payment,請求書払い
Customer Prize (prize product out of stock),カスタマー特典（在庫切れの特典製品）
Email To,メールに
Blacklisted Information,ブラックリスト情報
Telephone,電話番号（半角数字）
Add New Prize,新規景品を追加する
Prize ID,景品ID
Mail Sent Date,メール送信日
Product Qty,商品数量
Riki Configurations,RIKI設定
Product Activation,商品の有効化
Schedule Expression,スケジュール式
Status ID,ステータスID
Add New Status,新しいステータスを追加します
Out of Stock Message,在庫切れメッセージ
Threshold,閾値
Sign up for price alert,価格アラートにサインアップ
Sign up to be notified when this product is back in stock.,再入荷した場合に通知を受け取る
Questionnaire Configuration,アンケートの設定
Default Questionnaire,デフォルトのアンケート
Input ID questionnaire. A default questionnaire will be defined and shown in the case not product rule is matching,入力されたIDアンケートデフォルトのアンケートでは定義されていると示した場合にはない製品のルールが一致されます
Old Answer Manage,オールド回答管理します
Cron Schedule,cronのスケジュール
Exp: */5 * * * *,経験：* / 5 * * * *
Answer life time,人生の時間を回答
(days),（日々）
Add New Questionnaire,新しいアンケートを追加します
Account No,アカウント番号
Expired at,で有効期限が切れ
Refund Payment Method,返金方法
Initialize,初期化します
Enable Payment,支払いを有効にします
Enable Refund,払い戻しを有効にします
Refund Rule Information,返金ルール情報
Shopping Point Usage (g) - Cash Customer Paid (j),使用ショッピングポイント: 現金支払額
Shopping Point Usage (g) - Purchased Sub Total (e),使用ショッピングポイント: 合計購入金額
Shopping Point Usage (g) - Returned product (a),使用ショッピングポイント: 返品商品
Refund Delivery Fee,代引き手数料を返金する
Additional Delivery Fee,代引き手数料を追加返金する
Refund Cash on Delivery Fee,代引き手数料を返金する
Give back point - Case of Issued Points Retractable,ポイント返金（付与ポイントから相殺可能な場合）
Give back point - Case of Issued Points Not Retractable,ポイント返金（付与ポイントから相殺不可能な場合）
Refund product price - Case of Issued Points Retractable,商品価格の返金（付与ポイントから相殺可能な場合）
Refund product price - Case of Issued Points Not Retractable,商品価格の返金（付与ポイントから相殺不可能な場合）
Are you sure you want to delete selected items?,選択した項目を削除してもよろしいですか？
Order Configuration,注文の設定
Order Visibility (Months),注文の可視性（月数）
Entering the integer number of months,月の整数を入力します
Order Customer Configuration,注文のお客様の設定
Order Random Email Domain,ランダム電子メールのドメインを注文します
Free of charge - Replacement Order Configuration,無償出荷-代品出荷設定
Setting Email Cancel Order,メールを設定すると注文をキャンセル
Order Cancel Email Configuration,注文メールの設定をキャンセル
Order Cancel Email Sender,注文メールの送信者をキャンセル
Order Cancel Email Template,注文メールテンプレートをキャンセル
Order Cancel (CVS) To Admin Email Template,ご注文は管理者の電子メールテンプレートに（CVS）をキャンセル
Email admin receiver,メール管理レシーバー
"The email admin receiver when order cancel use Pay at convenient store Payment method. Each Email separated by a comma "",""","注文がコンビニのお支払い方法での使用の有料をキャンセル電子メールの管理受信機カンマで区切られた各メール """""
Phone,電話
Signed-up Point,署名付きアップポイント
Cancel items,キャンセルアイテム
Cancel selected items?,選択した項目をキャンセルしますか？
Shipment Status,出荷ステータス
Channel,チャンネル
Business Code,取引先コード
Is Free Order,無償出荷
Payment Agent,Paygent
Collection Date,集金日
Machine Maintenance Order ID,マシンメンテナンス注文番号
Replacement Reason Code,代品出荷理由
Payment Transaction ID,支払トランザクションID
Subscription Course Code,定期便コースコード
Subscription Course Name,定期便コース名
Customer Membership,メンバーシップ
SAP Integration Config,SAPの統合コンフィグ
SAP Integration Settings,SAPの統合の設定
Distribution channel setting,流通チャネルの設定
Import Serial code,シリアルコードをインポートする
Are you sure you wan't to Cancel selected items?,選択した項目をキャンセルするwan'tよろしいですか？
Campaign Limit,キャンペーンリミット
Expiration period,有効期限
Used date,使用される日付
Use Cookie Secure,セキュアなクッキーを使用します
Page Reloading Setting,ページのリロードの設定
Default Interval,デフォルトの間隔
Extra Interval,エクストラインターバル
Shipping Buffer Days,出荷バッファー日数
Shipping couriers common buffer (days),送料宅配便共通バッファ（日）
Add New Lead Time,新規リードタイムを追加する
Reject Shipments,出荷を拒否
Export Date,エクスポート日
Shipment date,出荷日
Shipment Exporting,エクスポート出荷
Location Export File,場所エクスポートファイル
sFTP Shipment Folder,SFTP出荷フォルダ
sFTP Shipment Backup Folder,SFTP出荷バックアップフォルダ
Local 3PLWH Folder,ローカル3PLWHフォルダ
Local 3PLWH Copy Folder,ローカル3PLWHコピーフォルダ
Shipping Order 1st Scheduler expression,送料注文第一スケジューラ式
Shipping Order 2nd Scheduler expression,送料注文第二スケジューラ式
Shipping Order 3rd Scheduler expression,送料注文第三スケジューラ式
Shipment Creator,出荷クリエーター
SZIM Settings,SZIM設定
Material Type,マテリアルタイプ
Multiple options. Please press Ctrl + click to select options,複数のオプションオプションを選択する]をクリック+ Ctrlキーを押してください
Ph Code,PHコード
B2B shipping flag for Ambassador,アンバサダーB3Bフラグ
Exception list for B2B Ambassador,B2B大使の例外リスト
Enable email sending,電子メールの送信を有効にします
Shipment Importing,出荷のインポート
Completion of Delivery (3PLWH) 1502,配達の完了（3PLWH）1502
Money Collection By COD (3PLWH) 1504,CODことによってお金コレクション（3PLWH）1504
Completion of Shipped Out (3PLWH) 1501 1st,出荷（3PLWH）1501第一の完成
Completion of Shipped Out (3PLWH) 1501 2nd,出荷の完了（3PLWH）1501年第2回
Completion of Shipped Out (3PLWH) 1501 3rd,出荷の完了（3PLWH）1501年第3回
Email Template Shipment tracking,電子メールテンプレートの出荷追跡
Email Template Shipment Shipped out of Completion - Spot,電子メールテンプレート発送完了の出荷 - スポット
For Spot order.,SPOT注文
Email Template Shipment Shipped out of Completion- Hanpukai,Eメールテンプレート: 頒布会出荷完了メール
For Hanpukai order,頒布会注文
Email Template Shipment Shipped out of Completion - Subscription,Eメールテンプレート: 定期便出荷完了メール
For Subscription order,定期便注文
Yamato,ヤマト
Company Code,会社コード
Method Name,お支払方法
Production webservice Url,プロダクションWebサービスのURL
Sagawa,佐川
Bizex,BIZEX
Okayamaken Kamotsu,岡山県貨物
Tomani Unsoun,Tomani Unsoun
Yu-Pack,ゆうパック
Anshin,あんしん
Riki Shipping,RIKI配送
Enabled for Checkout,チェックアウトのために有効に
Free shipping amount,送料無料の金額
Ship to Applicable Countries,該当国に出荷
Ship to Specific Countries,特定の国に出荷
Displayed Error Message,表示されたエラーメッセージ
Subscription Order,定期便注文
Subscription Profile Create Order,定期便プロファイル: 注文作成
Subscription Profile Rollback Version,サブスクリプション・プロファイルのロールバックバージョン
定期便のお届け内容確認・変更,定期便のお届け内容確認・変更
Subscription Email,定期便メール
Subscription Activation,定期便の有効化
Cut-off Date,次回お届け便注文作成日
X days before cut-off date (days),次回お届け便注文作成日のX日前
Send Cut-off Date Email Copy To,次回お届け便注文作成日をEメールする
Send Cut-off Date Email Copy Method,カットオフ日をEメールのコピー方法を送ります
Profile Setting,プロファイル設定
Hanpukai Email Template,頒布会メール設定
"Hanpukai email template chosen based on theme fallback when ""Default"" option is selected.",「デフォルト」オプションが選択されている場合はテーマフォールバックに基づいて選択Hanpukaiのメールテンプレート
Send Sub Profile Email Copy To,へのサブプロファイルの電子メールのコピーを送ります
Send Sub Profile Email Copy Method,サブプロファイルの電子メールのコピー方法を送ります
Profile Setting Edit,プロファイル設定の編集
Subscription Replace Product Email,定期便商品の代替メール
Send Email Copy To,への電子メールのコピーを送ります
Send Email Copy Method,メールのコピー方法を送ります
Frequency ID,お届け頻度ID
Frequency Interval,お届けインターバル
Subscription Page,定期便ページ
Tax Class for Payment,お支払いのための税クラス
Thirdpartyimportex,Thirdpartyimportex
Export CVS order payment,注文支払情報のCVS出力
Location Export File Csv Method,場所エクスポートファイルCSV方法
Local Export Csv Folder ,ローカルのエクスポートCSVフォルダ
sFTP Export Csv Folder,SFTPのエクスポートCSVフォルダ
Order Import,注文のインポート
Path in SFTP that EC will read the CSV files,ECはCSVファイルを読み込みますSFTPでのパス
Cvs file name for Order table,注文テーブルのCVSファイル名
Pattern/name of file will be get to import data,パターン/ファイルの名前はデータをインポートするために取得されます
Cvs file name for Order Detail table,注文詳細テーブルのCVSファイル名
Cvs file name for Shipping table,送料表のCVSファイル名
Cvs file name for Shipping Detail table,送料の詳細テーブルのCVSファイル名
Error Reporting,エラー報告
"Email address which will receive the error report and separated by a comma "",""","エラーレポートを受信しカンマで区切られますメールアドレス """""
Shipping Export Delivery complete,出荷情報エクスポート配送完了
Local Export shipping Folder ,地元のエクスポート出荷フォルダ
sFTP Export shipping Folder,SFTPエクスポート出荷フォルダ
BI Data Export,BIデータのエクスポート
Setting config cron product,設定のcron製品を設定します
Lastime to run cron job,cronジョブを実行するためのLastime
Setting config cron order,設定設定のcron順
Last Time Cron export Order Run,最後の時間のCronエクスポート受注ラン
Setting config cron shipment,設定設定のcron出荷
Setting config cron Gift Wrapping,設定のcronギフトラッピングを設定します
Setting config cron Enquiry,設定設定のcronお問い合わせ
Setting config cron Enquete,設定設定のcronアンケート
Setting config cron Customer,設定設定のcronカスタマー
Setting config cron Promotion,設定設定のcron推進
Add New Time Slot,新しいタイムスロットを追加します
Slot Name,スロット名
Appointed Time Slots,指定された時間スロット
Home Phone,自宅の電話
Return Item,返品商品
Are you sure you want to delete this item?,このアイテムを削除してもよろしいですか？
Japanese Localize,日本語ローカライズ
Name & Address configuration,名前と住所の設定
Kana configuration,カナ設定
Use Kana,カナを使用してください
Require Kana,カナを必要とします
Address format option,アドレスの形式オプション
Show address on customer registration form,顧客登録フォームに表示するアドレス
Hide country field,隠す国フィールド
Use Japanese style for address fields,アドレスフィールドのための日本のスタイルを使用します
Checkout address fields sort order,チェックアウトアドレスフィールドは順序を並べ替えます
Tax Rounding Method,税丸め方法
License activation,ライセンスアクティベーション
Extension version,拡張バージョン
Activation key,アクティベーションキー
1- Fill this field with your activation key.,1-アクティベーションキーをこのフィールドに入力します
Remote Activation,遠隔アクティベート
Activation code,アクティベーションコード
3 - Follow the instructions in the nofication.\nThen fill this field with the license code you get.,3 - noficationの指示に従ってください\ nThenは得るライセンスコードをこのフィールドに入力します
Advanced Inventory Enabled,高度なインベントリが有効
Multiple assignation enabled,複数の割り当てが有効になって
Automatic assignation enabled,自動割り当てが有効になって
Notifications in backend enabled,バックエンドでの通知が有効になって
Start date for order notifications,注文の通知の日付を起動します
Order status disallowed for manual assignation,注文状況は手動割り当てのために許可されていません
Automatic stock status update enabled ,自動在庫状況の更新が有効になって
Enable log file,ログファイルを有効にします
Enable the stock movement journal,在庫移動ジャーナルを有効にします
Stock movement journal lifetime history ,株価の動きジャーナル寿命履歴
Stocks,在庫
Store description template,店舗記述テンプレート
"Html and css code are supported. Available variables : {{code}},{{name}},{{phone}},{{email}},{{address_1}},{{address_2}},{{city}},{{state}},{{country}},{{zipcode}},{{hours}},{{description}},{{image}}",HTMLとCSSのコードがサポートされています利用可能な変数：{{コード}}{{名前}}{{電話}}{{メール}}{{ADDRESS_1}}{{address_2}}{{都市}}{{状態}} {{国}}{{郵便番号}}{{時間}}{{説明}}{{画像}}
Time format to display,表示する時刻の形式
Shipping Address Form,配送先住所のフォーム
Register/Edit Shipping Address,お届け先情報の登録・変更
Save New Address,新規アドレスを保存
Choose payment method,支払方法の選択
My Dashboard,ダッシュボード
Menu,メニュー
Account Dashboard,アカウントダッシュボード
Wrapping Fee (Tax included):,ギフト包装合計（税込）
Discount (Tax included):,割引価格（税込）
Items total (Tax included):,商品合計（税込）
Shipping cost (Tax included):,送料合計（税込）
Point used:,使用ポイント
Tax:,税
Amount billed (including tax):,請求金額（税込）
Use HTTPS to Get Feed,フィードを取得するにはHTTPSを使用します
Update Frequency,お届け頻度を更新する
Severity,重症度
Date Added,追加された日付
Order by SKU Settings,SKU設定順
Enable Order by SKU on My Account in Storefront,店頭でマイアカウントにSKU順を有効にします
Shopping Cart Management,ショッピングカート管理
Order by SKU Description,SKU説明順
Display a Link to Loading a Spreadsheet,スプレッドシートのロードへのリンクを表示します
Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget,マイアカウント＆GTへのリンクかどうかを定義します SKUページ順はウィジェットに表示されます
Link Text,リンクテキスト
The text of the link to the My Account &gt; Order by SKU page,マイアカウント＆GTへのリンクのテキスト SKUページ順
Load a list of SKUs,SKUのリストを読み込みます
Order by SKU Template,SKUテンプレート順
Enable Search Recommendations,検索の推奨事項を有効にします
When you enable this option your site may slow down.,このオプションを有効にするとあなたのサイトが遅くなる場合があります
Search Recommendations Count,検索の推奨数
Show Results Count for Each Recommendation,結果の表示は各勧告のためのカウント
Enable Search Suggestions,検索候補を有効にします
Search Suggestions Count,検索候補数
Show Results Count for Each Suggestion,結果の表示は各提案のためのカウント
Synonym,シノニム
Suggested Term,推奨用語
Authorize.net Direct Post,Authorize.net直接ポスト
Payment Action,支払いアクション
API Login ID,APIログインID
Transaction Key,トランザクションキー
Merchant MD5,マーチャントMD5
Gateway URL,ゲートウェイURL
Transaction Details URL,取引の詳細URL
Accepted Currency,受け入れられた通貨
Email Customer,メールカスタマー
Merchant's Email,マーチャントのメール
Credit Card Types,クレジットカードの種類
Credit Card Verification,クレジットカード照合
Minimum Order Total,最小注文合計
Maximum Order Total,最大注文合計
Services,サービス
Advanced,高度な
Disable Modules Output,モジュールの出力を無効にします
Store Email Addresses,ストアメールアドレス
Custom Email 1,カスタムメール1
Custom Email 2,カスタムメール2
General Contact,一般的なお問い合わせ
Sales Representative,営業担当者
Customer Support,顧客サポート
User-Agent Exceptions,ユーザーエージェントの例外
Find a string in client user-agent header and switch to specific design theme for that browser.,クライアント・ユーザー・エージェント・ヘッダー内の文字列を検索しそのブラウザのための特定のデザインテーマに切り替えます
Pagination,ページネーション
Pagination Frame,ページネーションフレーム
How many links to display at once.,一度にどのように多くのリンクを表示します
Pagination Frame Skip,ページネーションフレームスキップ
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.",現在のフレームの位置は最大限のページをカバーしていない場合は現在の位置プラス/マイナスこの値へのリンクをレンダリングします
Anchor Text for Previous,前のためのアンカーテキスト
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.",ページネーションメニューの前のリンクの代替テキスト空の場合はデフォルトの矢印のイメージが使用されます
Anchor Text for Next,次のためのアンカーテキスト
"Alternative text for next link in pagination menu. If empty, default arrow image will used.",ページネーションメニューの次のリンクの代替テキスト空の場合はデフォルトの矢印のイメージが使用されます
Developer,ディベロッパー
Enabled Template Path Hints for Storefront,有効なテンプレートのパスは店頭のためのヒント
Enabled Template Path Hints for Admin,有効なテンプレートのパスは管理者のためのヒント
Add Block Names to Hints,ヒントにブロック名を追加します
Template Settings,テンプレートの設定
Allow Symlinks,シンボリックリンクを許可
Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.,警告！それは潜在的なセキュリティリスクを表しているためこの機能を有効にすると本番環境にはお勧めしません
Minify Html,縮小するHtmlの
Translate Inline,インラインを翻訳
Enabled for Storefront,店頭のために有効に
Enabled for Admin,管理者のために有効に
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.",翻訳ブロックや他の出力キャッシュはストアフロントと管理の両方のインライン変換のために無効にする必要があります
JavaScript Settings,JavaScriptの設定
Merge JavaScript Files,JavaScriptのファイルをマージ
Enable Javascript Bundling,Javascriptのバンドルを有効にします
Minify JavaScript Files,縮小するのJavaScriptファイル
CSS Settings,CSSの設定
Merge CSS Files,CSSファイルをマージ
Minify CSS Files,縮小するCSSファイル
Image Processing Settings,画像処理の設定
Image Adapter,イメージ・アダプタ
Static Files Settings,静的ファイルの設定
Sign Static Files,静的ファイルのサイン
Country Options,国のオプション
Allow Countries,国を許可します
Default Country,デフォルトの国
European Union Countries,欧州連合（EU）諸国
Top destinations,人気の目的地
Locale Options,ロケールオプション
Timezone,タイムゾーン
Locale,ロケール
First Day of Week,週の最初の曜日
Weekend Days,週末
Store Hours of Operation,営業時間を格納します
Street Address Line 2,住所の2行目
Single-Store Mode,シングルストアモード
Enable Single-Store Mode,シングルストアモードを有効にします
This setting will not be taken into account if system has more than one store view.,システムは複数の店舗のビューがある場合この設定は考慮されないであろう
Mail Sending Settings,メール送信の設定
Disable Email Communications,メール通信を無効にします
Host,ホスト
Port (25),ポート（25）
Set Return-Path,設定リターンパス
Return-Path Email,リターンパスをEメールで送信
Admin User Emails,管理ユーザーの電子メール
Forgot Password Email Template,パスワードを忘れた場合メールテンプレート
Forgot and Reset Email Sender,忘れたと電子メールの送信者をリセット
Recovery Link Expiration Period (days),回復リンク有効期間（日）
Please enter a number 1 or greater in this field.,このフィールドの数1以上を入力してください
Startup Page,スタートアップページ
Admin Base URL,管理ベースURL
Use Custom Admin URL,カスタム管理URLを使用します
Custom Admin URL,カスタム管理URL
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/",例えばベースURLが「/」（スラッシュ）で終わることを確認しますhttp：//しん/ Magentoの/
Use Custom Admin Path,カスタム管理パスを使用します
Custom Admin Path,カスタム管理パス
You will have to sign in after you save your custom admin path.,あなたのカスタム管理パスを保存した後にログインする必要があります
Add Secret Key to URLs,URLへの秘密鍵を追加します
Login is Case Sensitive,ログインは大文字と小文字が区別されます
Admin Session Lifetime (seconds),管理者セッションの有効期間（秒）
Values less than 60 are ignored.,以下60以上の値は無視されます
Enable Charts,チャートを有効にします
Web,ウェブ
Url Options,URLオプション
Add Store Code to Urls,URLへのストアのコードを追加します
Auto-redirect to Base URL,ベースURLへの自動リダイレクト
Search Engine Optimization,検索エンジン最適化
Use Web Server Rewrites,Webサーバーの書き換えを使用します
Base URLs,ベースURL
Base URL,ベースURL
Specify URL or {{base_url}} placeholder.,URLまたは{{BASE_URL}}プレースホルダを指定します
Base Link URL,ベースリンクのURL
Base URL for Static View Files,静的ファイルの表示のためのベースURL
May be empty or start with {{unsecure_base_url}} placeholder.,空であるかまたは{{unsecure_base_url}}プレースホルダで始めることができます
Base URL for User Media Files,ユーザーメディアファイル用のベースURL
Base URLs (Secure),ベースURL（セキュア）
Secure Base URL,セキュアベースURL
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.",URLまたは{{BASE_URL}}または{{unsecure_base_url}}プレースホルダを指定します
Secure Base Link URL,セキュアベースのリンクURL
Secure Base URL for Static View Files,静的ファイルの表示のための安全なベースURL
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.",空であるかまたは{{secure_base_url}}または{{unsecure_base_url}}プレースホルダで始めることができます
Secure Base URL for User Media Files,ユーザーのメディアファイルのセキュアベースURL
Use Secure URLs on Storefront,店頭でのセキュアなURLを使用します
Use Secure URLs in Admin,Adminで保護されたURLを使用します
Offloader header,ヘッダオフローダ
Default Pages,デフォルトのページ
Default Web URL,既定のWeb URL
Default No-route URL,いいえルートURLをデフォルトません
Session Validation Settings,セッションの検証の設定
Validate REMOTE_ADDR,検証REMOTE_ADDR
Validate HTTP_VIA,HTTP_VIAを検証
Validate HTTP_X_FORWARDED_FOR,HTTP_X_FORWARDED_FORを検証
Validate HTTP_USER_AGENT,HTTP_USER_AGENTを検証
Use SID on Storefront,店頭にSIDを使用します
Allows customers to stay logged in when switching between different stores.,異なるストア切り替えるとき顧客がログインし滞在することができます
Cache Type,キャッシュタイプ
Tags,タグ
Community Edition,コミュニティ版
Scheduled Backup Settings,スケジュールバックアップの設定
Enable Scheduled Backup,スケジュールされたバックアップを有効にします
Backup Type,バックアップの種類
Are you sure you want to delete the selected backup(s)?,選択したバックアップ（複数可）を削除してもよろしいですか？
Size(bytes),サイズ（バイト）
Rollback,ロールバック
Manage Banners,バナーを管理します
Banner Rotator,バナーローテータ
Displays Specified or Promotion Banners,指定された表示またはプロモーションバナー
Banners to Display,表示するバナー
Specified Banners,指定されたバナー
Shopping Cart Promotions Related,ショッピングカートプロモーション関連
Catalog Promotions Related,関連カタログプロモーション
Restrict by Banner Types,バナーの種類によって制限
Rotation Mode,回転モード
Display all instead of rotating,すべての代わりに回転を表示
"One at the time, Random",一度に一つランダム
"One at the time, Series",一度に一つシリーズ
"One at the time, Shuffle",一度に一つシャッフル
Specify Banners,バナーを指定します
Banner Block Template,バナーブロックテンプレート
Banner Inline Template,バナーインラインテンプレート
Braintree,ブレーントリー
&nbsp;,＆NBSP;
Enable this Solution,このソリューションを有効にします
Enable PayPal through Braintree,ブレーントリーを通じてPayPalのを有効にします
Basic Braintree Settings,基本的なブレインツリー設定
Merchant Account ID,マーチャントアカウントID
Merchant ID,マーチャントID
Public Key,公開鍵
Private Key,秘密鍵
Advanced Braintree Settings,高度なブレーントリー設定
Capture action,キャプチャアクション
Use Vault,Vaultを使用してください
Allow Duplicate Cards,許可重複カード
Enable Credit Card auto-detection on Storefront,店頭でのクレジットカードの自動検出を有効にします
Advanced Fraud Protection,高度なフィッシング防止
Your Kount ID,あなたのKount ID
Use Cache,キャッシュを使用します
Country Specific Settings,国固有の設定
Country Specific Credit Card Types,国別のクレジットカードの種類
PayPal through Braintree,ブレーントリーを通じてPayPalの
Override Merchant Name,オーバーライドマーチャント名
Display on Shopping Cart,ショッピングカートの表示
Require Customer's Billing Address,お客様の請求先住所を必要とします
Allow to Edit Shipping Address Entered During Checkout on PayPal Side,PayPalの横にチェックアウト時に入力した配送先住所を編集することを許可します
3D Secure Verification Settings,3Dセキュア検証の設定
3D Secure Verification,3Dセキュア検証
Edit My Credit Cards,私のクレジットカードを編集します
CAPTCHA,キャプチャ
Enable CAPTCHA in Admin,AdminでCAPTCHAを有効にします
Font,フォント
Forms,フォーム
Displaying Mode,表示モード
Number of Unsuccessful Attempts to Login,ログインに失敗した試行回数
"If 0 is specified, CAPTCHA on the Login form will be always available.",0を指定した場合はログインフォームのCAPTCHAは常に利用できるようになります
CAPTCHA Timeout (minutes),CAPTCHAのタイムアウト（分）
Number of Symbols,シンボルの数
Please specify 8 symbols at the most. Range allowed (e.g. 3-5),最大で8個のシンボルを指定してください範囲（例えば3-5）を許可
Symbols Used in CAPTCHA,CAPTCHAで使用する記号
Case Sensitive,大文字と小文字を区別
Enable CAPTCHA on Storefront,店頭にCAPTCHAを有効にします
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.",選択された場合は「ユーザーの作成」および形の「パスワードを忘れた場合」のためのCAPTCHAは常に有効になっています
Catalog Events,カタログイベント
Enable Catalog Events Functionality,カタログイベントの機能を有効にします
Enable Catalog Event Widget on Storefront,店頭でカタログイベントウィジェットを有効にします
Number of Events to be Displayed in Event Slider Widget,イベントスライダーウィジェットに表示されるイベントの数
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","限界= ""x""の変数を使用してCMSでこのデフォルト値を上書きすることができます制限なしの場合は空のままにします"
Events to Scroll per Click in Event Slider Widget,イベントスライダウィジェットでクリックごとにスクロールするイベント
"You can override this default value in CMS using the limit=""x"" variable.","限界= ""x""の変数を使用してCMSでこのデフォルト値を上書きすることができます"
Catalog Events Carousel,カタログイベントカルーセル
List all open Catalog Events as a Paginated Carousel,ページ区切り付きカルーセルとして開いているすべてのカタログのイベントを一覧表示
Frame Size,フレームサイズ
Number of Items to display at once,一度に表示するアイテム数
Scroll,スクロール
Number of Items to scroll per click,クリックごとにスクロールするアイテム数
Block Custom Width,ブロックカスタム幅
"If empty, we'll automatically set the width value in pixels.",空の場合は自動的にピクセル単位で幅の値を設定します
Catalog Events Carousel Default Template,カタログイベントカルーセル既定のテンプレート
Category ID,カテゴリID
Countdown Ticker,カウントダウンティッカー
Inventory,インベントリ
Stock Options,ストックオプション
Decrease Stock When Order is Placed,注文がされると株価を下げて
Set Items' Status to be In Stock When Order is Cancelled,注文がキャンセルされた場合取り寄せになるようにアイテム「ステータスを設定します
Display Out of Stock Products,在庫商品のうち表示
Products will still be shown by direct product URLs.,製品はまだ直接製品のURLで表示されます
Only X left Threshold,唯一のX左側のしきい値
